code_chorus;id;designation_site;designation_batiment_terrain;type;fonction;adresse;ville;dept;code_postal;code_insee;libelle_nouvelle_region;pays;latitude;longitude;ministere;libelle_gestionnaire;type_gestionnaire;libelle_proprietaire;type_proprietaire;surface_m2;consommation_kwh_ef;type_de_chauffage;etat_de_sante;annee_de_construction;tri_des_dechets;erp;date_de_reference
"OR<C@O-.K<<&#@XJ?)!V40/DI5N!;T(%S2L8BWTA>0VY&/J[M29);JT[=X:R%%);JB_$";"CAF""/_BX:&`PW0$1L%0TJ!";Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;2;;;Hauts de France;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;;;Satisfaisant;;;Non;2021-12-31
CHAR/101408/371096;IG00100082552;SITE PENITENTIAIRE VILLENAUXE LA GRANDE;TER ASSIETTE ENCEINTE;Espace naturel;Terrain d'assiette étb. Pénitent.;LD LE HAUT DE LA MADELEINE;Villenauxe-la-Grande;10;10370;10420;Grand-Est;France;48.601612;3.576837;Justice;Services Pénitentiaires;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;0.0;;;;;;Non;2021-12-31
"I`(L;2-U7(;P.HV$XQW29&/JV=V\T6^ZCDBX9K.U&>R%-/I*<@3`]ML;S@`YS9(U[BW!";C%]35QDP*ID0.49T]N2>Z0;Bien contrôlé par le ministère de la Justice;Bien contrôlé par le ministère de la Justice;Logement;Logement;;;29;;;Bretagne;France;;;Justice;Services Pénitentiaires;Etat;PERSONNE PHYSIQUE;Personne Physique;79.0;;;;1905;;Non;2021-12-31
DOM2/133486/389089;IB00100224137;LYCEE  DE  MAMOUDZOU;LYCEE MDZ BATIMENT 29;Bâtiment d'enseignement ou de sport;Bâtiment scolaire/enseignement;R SARAHANGUE;Mamoudzou;976;97600;97611;Départements d'Outre-Mer;France;-12.781246;45.225607;Education nationale - Enseignement supérieur;Enseignement du second degré.;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;0.0;;;Peu satisfaisant;1976;;Oui;2021-12-31
"O,:U""ER6P4B`^+8Z60T-3%/K#TDC<GKYD7P2?<\L!G\U,/PO%U[>'5]T:V)990L'Q\Y0";O.O[TDV!JB%1I>DC+QXG?$;Bien contrôlé par le ministère de l'Education Nationale et de la Jeunesse;Bien contrôlé par le ministère de l'Education Nationale et de la Jeunesse;Logement;Logement;;;976;;;Départements d'Outre-Mer;France;;;Education nationale - Enseignement supérieur;Enseignement du second degré.;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;132.0;;;Satisfaisant;2006;;Non;2021-12-31
BRET/122599/441582;IB00100274369;SITE MEGALITHIQUE DE CARNAC;SITE MEGALITHIQUE DE CARNAC;Monument et mémorial;Mégalithe;LD KERMARIO;Carnac;56;56340;56034;Bretagne;France;47.573373;-3.066791;Culture;CMN - Centre des monuments nationaux;EPA;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;0.0;68893.15;;;;;Non;2021-12-31
IDF1/143529/446577;IB00100279753;PARC ET GRANDE HALLE DE LA VILLETTE;PAVILLON DE LA BOURSE - THEATRE PARIS VILLETTE;Bâtiment culturel;Salle de spectacles;211  AV JEAN JAURES;Paris 19e Arrondissement;75;75019;75119;Ile-de-France;France;48.888952;2.392454;Culture;EPPGHV - Et pub du parc et de la grande Halle de la Villette.;EPIC;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;1523.0;;;;1868;;Oui;2021-12-31
IDF1/168860/436296;IB00100268528;MUSEE RODIN (Domaine public);MUSEE RODIN - GALERIE DES MARBRES;Bâtiment culturel;Musée;77  R DE VARENNE;Paris 7e Arrondissement;75;75007;75107;Ile-de-France;France;48.855868;2.31598;Culture;Musée Rodin;EPA;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;149.0;;;;1971;;Oui;2021-12-31
RALP/101628/153991;IB00100044347;CATHEDRALE SAINT PIERRE - MOUTIERS;CATHEDRALE SAINT PIERRE MOUTIERS;Édifice du culte;Édifice du culte;0  PL SAINT PIERRE;Moûtiers;73;73600;73181;Auvergne - Rhône-Alpes;France;45.483377;6.532807;Culture;Culture-Patrimoines-MonumentsHistoriques;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;1359.0;;;;;;Oui;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/EMJ77#T+!$I;KFRX;K?MM./MA<$<N9]8487)!P)T""NWQ)";A'7Y<$CNO^1SX^^-9P+?R.;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bureau;Immeuble de bureaux;15  AVENUE MERS SULTAN;CASABLANCA;N/A;99000;MA003;Étranger;Maroc;;;Affaires étrangères;Affaires étrangères (services extérieurs ).;Etat;Organismes publics étrangers;Autre Proprié.;1208.0;;;;1920;;Non;2021-12-31
"H$U?:\8ZPL5TM(]P^=W@1!/O1OU""9_[UCTHX=\#PZ$[%)/B*)VPS\9O["""")B?Q[Z\L/!";MQW!UMC[/964\)V58G_32!;Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Logement;Logement;;;41;;;Centre - Val-de-Loire;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;119.0;;;Satisfaisant;1847;;Non;2021-12-31
"I5+@C$WMLM]/;9V+""ESLU!/OCG4]C%8P#GA86GIF<EV-""/O^)<G-W#1;!YFZ-#&LKC7-";"M97HTN>80#W'/NNUM<>[B""";Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;31;;;Occitanie;France;;;Agriculture;ENVT - Ecole nationale vétérinaire de Toulouse;EPA;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;15.0;;;;;;Non;2021-12-31
P[(D'+'+,UJ=YM^ZS!,<V-/PP9J<1=VY3O%`@<)W.A]A./JXW#(#Q%*[9?]?S:5%'S_%;KS^!+1)W@V_ZR&H$_8TJ%-;SITE MONTGUILLAUME;MONTGUILLAUME;Espace naturel;Espace naturel;;;5;;;Provence-Alpes-Côte-d'Azur;France;-;-;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;13684036.0;;;;;;Non;2021-12-31
BRET/143950/371056;IG00100082454;SITE PENITENTIAIRE BREST;TER ASSIETTE ENCEINTE;Espace naturel;Terrain d'assiette étb. Pénitent.;171  R GENERAL PAULET;Brest;29;29200;29019;Bretagne;France;48.421224;-4.477061;Justice;Services Pénitentiaires;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;0.0;;;;;;Non;2021-12-31
DOM2/163932/526076;IB00100344428;DIRECTION INTERREGIONALE DE L’OCEAN INDIEN;MAD JUSTICE;Bureau;Immeuble de bureaux;50  BD DU CHAUDRON;Saint-Denis;974;97490;97411;Départements d'Outre-Mer;France;-20.896068;55.495236;Justice;Justice (services centraux);Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;0.0;;;;;;Non;2021-12-31
"H$U?:\8ZPL5TM(]P^=W@1!/E>6Z_)Y;JTU6DQZM?`ZCI*/ARM#/.""=&4,7!!]T:'+]Q$";BMA.'^)<7WH]8<[O5B=)_&;Bien contrôlé par le ministère de la Justice;Bien contrôlé par le ministère de la Justice;Logement;Logement;;;36;;;Centre - Val-de-Loire;France;;;Justice;Services Pénitentiaires;Etat;PERSONNE PHYSIQUE;Personne Physique;0.0;;;;;;Non;2021-12-31
RALP/144354/506030;IB00100327145;SITE PENITENTIAIRE LA TALAUDIERE;GARAGES;Bâtiment technique;Garage;SAUVAGERE;La Talaudière;42;42350;42305;Auvergne - Rhône-Alpes;France;45.471424;4.420264;Justice;Services Pénitentiaires;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;0.0;;;;1969;;Non;2021-12-31
"KAZ*>/4_5C+OTE+K529-E%/JAK05&)$DC-E-7>;DPXE5(/C7ME?\M'H$RFJ752R@`D]!";"B4_**Q;D[W$UZ][B7_;;D0";Bien contrôlé par le ministère de l'Education Nationale et de la Jeunesse;Bien contrôlé par le ministère de l'Education Nationale et de la Jeunesse;Logement;Logement;;;75;;;Ile-de-France;France;;;Education nationale - Enseignement supérieur;Education nationale Services déconcentrés;Etat;PERSONNE PHYSIQUE;Personne Physique;52.0;;;;;;Non;2021-12-31
